Sigma,Ancilla Count,Energies,Mean Probability,Variance
10.0,8,-0.26647586206896556,0.16841796875,0.0008203872680664063
10.0,8,-0.19911724137931053,0.21654296875,0.0005600761413574219
10.0,8,-0.13175862068965527,0.05296875,0.0019513725280761718
10.0,8,-0.0644,0.012890625,0.0006392574310302737
15,2,-2.0178,0.255537109375,0.021911789035797123
15,2,-1.9504413793103446,0.28587890625,0.02078528633117676
15,2,-1.8830827586206895,0.414580078125,0.011801799869537355
15,2,-1.8157241379310343,0.44201171875,0.01784135398864746
15,2,-1.7483655172413792,0.295244140625,0.021159940814971922
15,2,-1.681006896551724,0.2164453125,0.018102245712280272
15,2,-1.6136482758620687,0.230224609375,0.02044785737991333
15,2,-1.5462896551724137,0.232119140625,0.02100386514663696
15,2,-1.4789310344827586,0.289384765625,0.020765186405181883
15,2,-1.4115724137931034,0.242587890625,0.027596375370025635
15,2,-1.3442137931034481,0.253603515625,0.01999282732009888
15,2,-1.276855172413793,0.408125,0.017671197509765625
15,2,-1.2094965517241378,0.367587890625,0.010104367160797118
15,2,-1.1421379310344828,0.3305859375,0.032671708679199225
15,2,-1.0747793103448275,0.276796875,0.039721838378906256
15,2,-1.0074206896551725,0.25802734375,0.0192567554473877
15,2,-0.9400620689655173,0.329287109375,0.011911667728424074
15,2,-0.872703448275862,0.394013671875,0.01045663270950317
15,2,-0.805344827586207,0.317021484375,0.01704025087356567
15,2,-0.7379862068965517,0.241376953125,0.02594505891799927
15,2,-0.6706275862068967,0.236220703125,0.03104577341079712
15,2,-0.6032689655172414,0.234462890625,0.020677029514312738
15,2,-0.5359103448275864,0.227705078125,0.019381328678131107
15,2,-0.4685517241379311,0.253037109375,0.025858405017852793
15,2,-0.40119310344827586,0.30048828125,0.029390993118286128
15,2,-0.3338344827586208,0.31041015625,0.022720652008056647
15,2,-0.26647586206896556,0.4202734375,0.015273208999633787
15,2,-0.19911724137931053,0.408173828125,0.014614624118804929
15,2,-0.13175862068965527,0.308740234375,0.015285837650299075
15,2,-0.0644,0.27017578125,0.02518109741210937
15,4,-2.0178,0.067822265625,0.004686682224273681
15,4,-1.9504413793103446,0.108359375,0.007707518005371097
15,4,-1.8830827586206895,0.241474609375,0.001774351215362549
15,4,-1.8157241379310343,0.23388671875,0.004028768539428711
15,4,-1.7483655172413792,0.082685546875,0.0044797478675842285
15,4,-1.681006896551724,0.070576171875,0.005335657215118409
15,4,-1.6136482758620687,0.067958984375,0.0039143246650695795
15,4,-1.5462896551724137,0.062607421875,0.0050060013771057125
15,4,-1.4789310344827586,0.071826171875,0.004431202411651612
15,4,-1.4115724137931034,0.065947265625,0.00644515428543091
15,4,-1.3442137931034481,0.07126953125,0.004157971954345704
15,4,-1.276855172413793,0.246513671875,0.002849722003936767
15,4,-1.2094965517241378,0.22521484375,0.0047214084625244145
15,4,-1.1421379310344828,0.093203125,0.007778440856933595
15,4,-1.0747793103448275,0.097568359375,0.010787979984283451
15,4,-1.0074206896551725,0.060068359375,0.003503155612945556
15,4,-0.9400620689655173,0.169423828125,0.005798067951202393
15,4,-0.872703448275862,0.31369140625,0.004744760131835938
15,4,-0.805344827586207,0.1278125,0.00393083152770996
15,4,-0.7379862068965517,0.084990234375,0.016546606159210206
15,4,-0.6706275862068967,0.06943359375,0.006008720397949219
15,4,-0.6032689655172414,0.0528125,0.002087825393676758
15,4,-0.5359103448275864,0.065654296875,0.004197580432891845
15,4,-0.4685517241379311,0.07048828125,0.010946958160400389
15,4,-0.40119310344827586,0.08380859375,0.0048081947326660155
15,4,-0.3338344827586208,0.090244140625,0.010052906894683838
15,4,-0.26647586206896556,0.216826171875,0.0034576550483703594
15,4,-0.19911724137931053,0.264375,0.005171844100952149
15,4,-0.13175862068965527,0.10904296875,0.005727600479125978
15,4,-0.0644,0.071435546875,0.004226839542388915
15,6,-2.0178,0.011884765625,0.0002168522834777832
15,6,-1.9504413793103446,0.032939453125,0.0016550274848938
15,6,-1.8830827586206895,0.199208984375,0.0019083260536193847
15,6,-1.8157241379310343,0.178125,0.0028417205810546864
15,6,-1.7483655172413792,0.035615234375,0.0019325676918029782
15,6,-1.681006896551724,0.02216796875,0.0018486690521240235
15,6,-1.6136482758620687,0.01759765625,0.00036188087463378914
15,6,-1.5462896551724137,0.020390625,0.0018103748321533202
15,6,-1.4789310344827586,0.016416015625,0.000993832492828369
15,6,-1.4115724137931034,0.015419921875,0.0005643090248107913
15,6,-1.3442137931034481,0.034169921875,0.0022440670967102047
15,6,-1.276855172413793,0.194619140625,0.0018554505348205566
15,6,-1.2094965517241378,0.165732421875,0.001149617099761963
15,6,-1.1421379310344828,0.0294921875,0.000800046920776367
15,6,-1.0747793103448275,0.012509765625,0.0006149949073791502
15,6,-1.0074206896551725,0.032890625,0.0031797672271728526
15,6,-0.9400620689655173,0.110888671875,0.003605797290802002
15,6,-0.872703448275862,0.26423828125,0.0001902042388916015
15,6,-0.805344827586207,0.04712890625,0.001333324813842773
15,6,-0.7379862068965517,0.013525390625,0.0003657364845275879
15,6,-0.6706275862068967,0.017431640625,0.0013042473793029783
15,6,-0.6032689655172414,0.015400390625,0.0002918454170227052
15,6,-0.5359103448275864,0.01587890625,0.0008201145172119141
15,6,-0.4685517241379311,0.013076171875,0.00038212099075317385
15,6,-0.40119310344827586,0.015107421875,0.0004342690467834472
15,6,-0.3338344827586208,0.02546875,0.0009615837097167966
15,6,-0.26647586206896556,0.159736328125,0.0016788960456848145
15,6,-0.19911724137931053,0.19384765625,0.0015945720672607422
15,6,-0.13175862068965527,0.04021484375,0.0018698764801025392
15,6,-0.0644,0.019921875,0.0015599822998046873
15,8,-2.0178,0.00275390625,2.125511169433594e-05
15,8,-1.9504413793103446,0.01212890625,0.0004391990661621093
15,8,-1.8830827586206895,0.17517578125,0.0019557147979736332
15,8,-1.8157241379310343,0.139052734375,0.0015976838111877438
15,8,-1.7483655172413792,0.010419921875,0.0004799710273742676
15,8,-1.681006896551724,0.00314453125,5.705032348632808e-05
15,8,-1.6136482758620687,0.00609375,0.0001904033660888671
15,8,-1.5462896551724137,0.004365234375,0.00020653162002563487
15,8,-1.4789310344827586,0.002685546875,2.7267932891845704e-05
15,8,-1.4115724137931034,0.0032421875,5.2106475830078083e-05
15,8,-1.3442137931034481,0.01439453125,0.0005883239746093748
15,8,-1.276855172413793,0.164921875,0.0010248046874999999
15,8,-1.2094965517241378,0.143349609375,0.0009356030464172362
15,8,-1.1421379310344828,0.011572265625,0.0002822232246398926
15,8,-1.0747793103448275,0.003671875,0.00016409149169921867
15,8,-1.0074206896551725,0.006689453125,0.00014894723892211914
15,8,-0.9400620689655173,0.0690625,0.001681205368041992
15,8,-0.872703448275862,0.222333984375,0.00010586366653442383
15,8,-0.805344827586207,0.02681640625,0.0009057411193847655
15,8,-0.7379862068965517,0.00572265625,0.00016920127868652328
15,8,-0.6706275862068967,0.0025390625,2.618789672851563e-05
15,8,-0.6032689655172414,0.004423828125,9.41697120666504e-05
15,8,-0.5359103448275864,0.00564453125,0.0004456535339355471
15,8,-0.4685517241379311,0.00431640625,8.633003234863276e-05
15,8,-0.40119310344827586,0.00564453125,0.00016856346130371096
15,8,-0.3338344827586208,0.0060546875,9.726524353027343e-05
15,8,-0.26647586206896556,0.13123046875,0.001128907775878906
15,8,-0.19911724137931053,0.184990234375,0.0015744782447814946
15,8,-0.13175862068965527,0.01962890625,0.000740232467651367
15,8,-0.0644,0.00318359375,4.0094757080078146e-05
20,2,-2.0178,0.259560546875,0.024296580219268806
20,2,-1.9504413793103446,0.267451171875,0.019540384387969973
20,2,-1.8830827586206895,0.393056640625,0.015963120365142816
20,2,-1.8157241379310343,0.41845703125,0.015657243728637697
20,2,-1.7483655172413792,0.268193359375,0.01750897226333618
20,2,-1.681006896551724,0.23263671875,0.021026021575927735
20,2,-1.6136482758620687,0.267890625,0.019889199829101565
20,2,-1.5462896551724137,0.252958984375,0.028467325305938727
20,2,-1.4789310344827586,0.283818359375,0.0222776204109192
20,2,-1.4115724137931034,0.25517578125,0.02983643531799315
20,2,-1.3442137931034481,0.270263671875,0.026166203022003173
20,2,-1.276855172413793,0.415498046875,0.020098728275299065
20,2,-1.2094965517241378,0.398154296875,0.011349507236480712
20,2,-1.1421379310344828,0.301064453125,0.022876711750030518
20,2,-1.0747793103448275,0.298779296875,0.038277590274810785
20,2,-1.0074206896551725,0.230234375,0.01747640838623047
20,2,-0.9400620689655173,0.329716796875,0.013298929309844967
20,2,-0.872703448275862,0.452060546875,0.016039673709869383
20,2,-0.805344827586207,0.2916796875,0.009012839889526367
20,2,-0.7379862068965517,0.265263671875,0.023920925235748295
20,2,-0.6706275862068967,0.253388671875,0.025878509616851814
20,2,-0.6032689655172414,0.2773828125,0.022617739105224598
20,2,-0.5359103448275864,0.24337890625,0.019835416412353514
20,2,-0.4685517241379311,0.2780859375,0.017664034271240234
20,2,-0.40119310344827586,0.29529296875,0.02836945114135742
20,2,-0.3338344827586208,0.268701171875,0.019235861301422123
20,2,-0.26647586206896556,0.391171875,0.020197197341918948
20,2,-0.19911724137931053,0.399921875,0.01662230453491211
20,2,-0.13175862068965527,0.287509765625,0.01998698892593384
20,2,-0.0644,0.252265625,0.016503789520263667
20,4,-2.0178,0.055146484375,0.0031436673164367667
20,4,-1.9504413793103446,0.077197265625,0.004747803211212157
20,4,-1.8830827586206895,0.226552734375,0.0060753201484680195
20,4,-1.8157241379310343,0.206083984375,0.006257919406890871
20,4,-1.7483655172413792,0.068916015625,0.004860210514068603
20,4,-1.681006896551724,0.080263671875,0.004810027027130127
20,4,-1.6136482758620687,0.08625,0.006360643005371095
20,4,-1.5462896551724137,0.0430078125,0.002142055892944336
20,4,-1.4789310344827586,0.063701171875,0.007044555759429932
20,4,-1.4115724137931034,0.07228515625,0.005918998336791992
20,4,-1.3442137931034481,0.0573046875,0.0035739398956298823
20,4,-1.276855172413793,0.214794921875,0.004915812015533448
20,4,-1.2094965517241378,0.1966796875,0.003890905380249021
20,4,-1.1421379310344828,0.06751953125,0.00819905319213867
20,4,-1.0747793103448275,0.0984375,0.01292536735534668
20,4,-1.0074206896551725,0.06896484375,0.006730466461181639
20,4,-0.9400620689655173,0.12056640625,0.006357925796508787
20,4,-0.872703448275862,0.274716796875,0.0033346833229064943
20,4,-0.805344827586207,0.08279296875,0.003768092727661133
20,4,-0.7379862068965517,0.0903125,0.010176744079589845
20,4,-0.6706275862068967,0.085009765625,0.006879723072052003
20,4,-0.6032689655172414,0.070625,0.0029998374938964845
20,4,-0.5359103448275864,0.083876953125,0.009010613346099854
20,4,-0.4685517241379311,0.0676171875,0.008311359786987306
20,4,-0.40119310344827586,0.0589453125,0.004963531875610351
20,4,-0.3338344827586208,0.077177734375,0.005895933246612549
20,4,-0.26647586206896556,0.1930078125,0.004496364974975586
20,4,-0.19911724137931053,0.213623046875,0.005631725788116455
20,4,-0.13175862068965527,0.08595703125,0.0075579639434814475
20,4,-0.0644,0.064609375,0.0035574668884277355
20,6,-2.0178,0.0219140625,0.0010811199188232423
20,6,-1.9504413793103446,0.021328125,0.0008803314208984372
20,6,-1.8830827586206895,0.143798828125,0.004450380802154541
20,6,-1.8157241379310343,0.1247265625,0.001598922348022461
20,6,-1.7483655172413792,0.016181640625,0.0005805493354797363
20,6,-1.681006896551724,0.0179296875,0.0017300895690917967
20,6,-1.6136482758620687,0.02376953125,0.0011382049560546869
20,6,-1.5462896551724137,0.0303515625,0.003710454559326174
20,6,-1.4789310344827586,0.012978515625,0.00042551126480102545
20,6,-1.4115724137931034,0.023388671875,0.0009631085395812985
20,6,-1.3442137931034481,0.020634765625,0.0010098248481750492
20,6,-1.276855172413793,0.160341796875,0.0028136147499084473
20,6,-1.2094965517241378,0.15150390625,0.0030918029785156256
20,6,-1.1421379310344828,0.01478515625,0.00028670349121093745
20,6,-1.0747793103448275,0.02001953125,0.0008946990966796875
20,6,-1.0074206896551725,0.01703125,0.000572487258911133
20,6,-0.9400620689655173,0.06390625,0.002855488204956055
20,6,-0.872703448275862,0.237001953125,0.00026760950088500977
20,6,-0.805344827586207,0.024638671875,0.0008006497383117678
20,6,-0.7379862068965517,0.017265625,0.0007978321075439449
20,6,-0.6706275862068967,0.01505859375,0.0009341274261474609
20,6,-0.6032689655172414,0.01705078125,0.0009748348236083984
20,6,-0.5359103448275864,0.015078125,0.0009461654663085937
20,6,-0.4685517241379311,0.0190234375,0.0007910247802734371
20,6,-0.40119310344827586,0.010029296875,0.00029504976272583017
20,6,-0.3338344827586208,0.013583984375,0.0005283707618713377
20,6,-0.26647586206896556,0.133388671875,0.002483984851837158
20,6,-0.19911724137931053,0.164345703125,0.00387635316848755
20,6,-0.13175862068965527,0.024150390625,0.0009942742347717286
20,6,-0.0644,0.02041015625,0.0015868949890136723
20,8,-2.0178,0.0041796875,8.36292266845703e-05
20,8,-1.9504413793103446,0.006181640625,0.00012798891067504885
20,8,-1.8830827586206895,0.1233203125,0.0041282859802246104
20,8,-1.8157241379310343,0.10447265625,0.0018615146636962888
20,8,-1.7483655172413792,0.00583984375,0.00015562019348144536
20,8,-1.681006896551724,0.00421875,3.9460754394531244e-05
20,8,-1.6136482758620687,0.006123046875,0.0001389714241027832
20,8,-1.5462896551724137,0.00119140625,1.1979675292968735e-05
20,8,-1.4789310344827586,0.003837890625,5.8307743072509756e-05
20,8,-1.4115724137931034,0.00412109375,9.100112915039058e-05
20,8,-1.3442137931034481,0.0054296875,0.00018685951232910155
20,8,-1.276855172413793,0.121201171875,0.001692116641998291
20,8,-1.2094965517241378,0.103203125,0.0016121364593505861
20,8,-1.1421379310344828,0.00626953125,0.00012150154113769542
20,8,-1.0747793103448275,0.00701171875,0.0003420806884765625
20,8,-1.0074206896551725,0.005224609375,0.00016065835952758792
20,8,-0.9400620689655173,0.033818359375,0.0011335545539855958
20,8,-0.872703448275862,0.22103515625,0.00019981803894042976
20,8,-0.805344827586207,0.008115234375,0.00022650613784790037
20,8,-0.7379862068965517,0.005556640625,0.0001441849708557129
20,8,-0.6706275862068967,0.0040234375,4.0059661865234376e-05
20,8,-0.6032689655172414,0.0034765625,9.990348815917966e-05
20,8,-0.5359103448275864,0.0062109375,0.0003023151397705078
20,8,-0.4685517241379311,0.00462890625,3.766288757324217e-05
20,8,-0.40119310344827586,0.004443359375,0.00022681474685668938
20,8,-0.3338344827586208,0.003076171875,2.7401447296142566e-05
20,8,-0.26647586206896556,0.097509765625,0.001199476718902588
20,8,-0.19911724137931053,0.121611328125,0.0037363759040832515
20,8,-0.13175862068965527,0.005244140625,0.00011519250869750977
20,8,-0.0644,0.005234375,0.00017646827697753915
